Date,Action,Price,Amount
2022-06-12,STOP_LOSS,1434.84,14158.113180669845
2022-06-13,BUY,1209.82,14158.113180669845
2022-06-15,SELL,1237.52,14482.276886927433
2022-06-16,BUY,1068.5,14482.276886927433
2022-06-17,SELL,1086.94,14732.209676627894
2022-06-18,BUY,995.13,14732.209676627894
2022-06-19,SELL,1128.53,16707.104183739688
2022-06-20,BUY,1128.24,16707.104183739688
2022-06-21,SELL,1125.85,16671.712796269698
2022-06-22,BUY,1050.19,16671.712796269698
2022-06-24,SELL,1225.02,19447.130147579297
2022-07-17,BUY,1338.65,19447.130147579297
2022-07-18,SELL,1581.04,22968.431366323362
2022-07-20,BUY,1521.58,22968.431366323362
2022-07-25,STOP_LOSS,1440.79,21748.896691784223
2022-08-08,BUY,1777.05,21748.896691784223
2022-08-09,SELL,1702.76,20839.678867168906
2022-08-10,BUY,1853.57,20839.678867168906
2022-08-17,SELL,1834.25,20622.464197254256
2022-08-26,BUY,1508.18,20622.464197254256
2022-08-28,STOP_LOSS,1426.76,19509.14812427859
2022-09-07,BUY,1630.0,19509.14812427859
2022-09-10,SELL,1774.12,21234.091944935662
2022-09-12,BUY,1716.37,21234.091944935662
2022-09-13,STOP_LOSS,1574.4,19477.708395105197
2022-09-18,BUY,1334.51,19477.708395105197
2022-09-19,SELL,1375.98,20082.97966856513
2022-09-21,BUY,1245.78,20082.97966856513
2022-09-22,SELL,1326.46,21383.606424220092
2022-09-24,BUY,1317.13,21383.606424220092
2022-09-25,SELL,1294.63,21018.318909286143
2022-09-28,BUY,1337.2,21018.318909286143
2022-09-29,SELL,1335.7,20994.741674494093
2022-09-30,BUY,1328.72,20994.741674494093
2022-10-25,SELL,1459.74,23064.952895964543
2022-10-30,BUY,1590.44,23064.952895964543
2022-11-08,STOP_LOSS,1334.77,19357.163537729553
2022-11-09,BUY,1102.73,19357.163537729553
2022-11-10,SELL,1299.28,22807.373918639423
2022-11-18,BUY,1212.58,22807.373918639423
2022-11-20,STOP_LOSS,1142.21,21483.7871015596
2022-11-21,BUY,1107.34,21483.7871015596
2022-11-22,SELL,1139.6,22109.671628350206
2022-11-26,BUY,1205.6,22109.671628350206
2022-12-16,SELL,1166.83,21398.66302762763
2022-12-25,BUY,1218.51,21398.66302762763
2023-01-04,SELL,1256.9,22072.842700860205
2023-01-05,BUY,1251.24,22072.842700860205
2023-01-08,SELL,1290.16,22759.42164488172
2023-01-10,BUY,1335.62,22759.42164488172
2023-01-20,SELL,1658.52,28261.74809187436
2023-01-21,BUY,1626.66,28261.74809187436
2023-01-27,SELL,1597.62,27757.20432453021
2023-02-10,BUY,1513.06,27757.20432453021
2023-02-11,SELL,1538.51,28224.08656982074
2023-02-17,BUY,1693.87,28224.08656982074
2023-02-23,SELL,1650.53,27501.934390529517
2023-03-09,BUY,1437.32,27501.934390529517
2023-03-10,SELL,1426.44,27293.75455154519
2023-03-13,BUY,1673.45,27293.75455154519
2023-03-17,SELL,1789.27,29182.763874895136
2023-03-18,BUY,1758.84,29182.763874895136
2023-04-09,SELL,1858.92,30843.296389847896
2023-04-10,BUY,1910.2,30843.296389847896
2023-04-13,SELL,2012.01,32487.184990753776
2023-04-17,BUY,2074.0,32487.184990753776
2023-04-19,STOP_LOSS,1933.73,30289.992397382015
2023-04-30,BUY,1870.09,30289.992397382015
2023-05-02,SELL,1870.08,30289.830426608434
2023-05-23,BUY,1854.05,30289.830426608434
2023-05-28,SELL,1908.64,31181.67360397073
2023-05-29,BUY,1892.6,31181.67360397073
2023-05-30,SELL,1900.59,31313.3134497362
2023-05-31,BUY,1873.63,31313.3134497362
2023-06-07,SELL,1832.13,30619.73867341214
2023-06-09,BUY,1840.37,30619.73867341214
2023-06-10,SELL,1751.53,29141.635040041714
2023-06-11,BUY,1752.76,29141.635040041714
2023-06-12,SELL,1742.57,28972.21466243267
2023-06-14,BUY,1650.95,28972.21466243267
2023-06-15,SELL,1666.96,29253.171176406777
2023-06-20,BUY,1791.99,29253.171176406777
2023-06-30,SELL,1933.79,31567.97185766866
2023-07-01,BUY,1924.5,31567.97185766866
2023-07-02,SELL,1937.48,31780.885484435374
2023-07-13,BUY,2004.49,31780.885484435374
2023-07-18,STOP_LOSS,1897.21,30079.97732586625
2023-07-27,BUY,1861.28,30079.97732586625
2023-07-28,SELL,1874.19,30288.614665372897
2023-08-10,BUY,1852.47,30288.614665372897
2023-08-15,SELL,1828.98,29904.543906607785
2023-08-17,BUY,1681.49,29904.543906607785
2023-08-20,SELL,1685.24,29971.235971175385
2023-08-26,BUY,1647.04,29971.235971175385
2023-08-27,SELL,1658.33,30176.680437681705
2023-08-29,BUY,1729.42,30176.680437681705
2023-09-01,STOP_LOSS,1629.12,28426.543948049642
2023-09-13,BUY,1607.62,28426.543948049642
2023-09-27,FINAL_SELL,1598.64,28267.756196806513
