Date,Action,Price,Amount
2020-03-03,BUY,223.91,10000.0
2020-03-04,SELL,224.26,10015.63128042517
2020-03-08,BUY,199.43,10015.63128042517
2020-03-10,SELL,200.7,10079.41231500442
2020-03-12,BUY,107.82,10079.41231500442
2020-03-13,SELL,134.06,12532.424549707777
2020-03-16,BUY,111.02,12532.424549707777
2020-03-18,SELL,118.11,13332.774847468796
2020-03-20,BUY,133.48,13332.774847468796
2020-03-21,SELL,132.66,13250.868379271878
2020-03-22,BUY,122.32,13250.868379271878
2020-03-23,SELL,135.92,14724.150017255017
2020-03-24,BUY,138.42,14724.150017255017
2020-03-27,STOP_LOSS,131.33,13969.96548017701
2020-04-09,BUY,169.52,13969.96548017701
2020-04-10,STOP_LOSS,157.81,13004.956656599421
2020-04-13,BUY,156.29,13004.956656599421
2020-04-18,SELL,187.4,15593.632845650596
2020-04-19,BUY,180.03,15593.632845650596
2020-04-20,STOP_LOSS,170.2,14742.189136975678
2020-04-30,BUY,206.08,14742.189136975678
2020-05-06,SELL,198.97,14233.566443051488
2020-05-19,BUY,214.58,14233.566443051488
2020-05-21,STOP_LOSS,198.74,13182.864176027835
2020-05-28,BUY,220.21,13182.864176027835
2020-05-30,SELL,243.66,14586.697630130067
2020-05-31,BUY,231.57,14586.697630130067
2020-06-01,SELL,248.23,15636.118464080782
2020-06-02,BUY,237.71,15636.118464080782
2020-06-11,SELL,230.51,15162.51595286383
2020-07-06,BUY,241.6,15162.51595286383
2020-07-13,SELL,239.5,15030.722560889435
2020-07-20,BUY,236.01,15030.722560889435
2020-07-23,SELL,275.3,17532.977081534096
2020-07-28,BUY,316.77,17532.977081534096
2020-08-01,SELL,387.0,21420.15383576
2020-08-02,BUY,372.42,21420.15383576
2020-08-09,SELL,390.14,22439.33950239892
2020-08-10,BUY,395.44,22439.33950239892
2020-08-11,SELL,379.0,21506.447682098908
2020-09-01,BUY,475.4,21506.447682098908
2020-09-02,STOP_LOSS,439.5,19882.38064005568
2020-09-05,BUY,335.01,19882.38064005568
2020-09-06,SELL,352.8,20938.192560853837
2020-09-17,BUY,389.36,20938.192560853837
2020-09-21,STOP_LOSS,340.36,18303.17243685076
2020-09-23,BUY,320.72,18303.17243685076
2020-09-24,SELL,348.97,19915.37192968262
2020-09-29,BUY,359.79,19915.37192968262
2020-10-06,STOP_LOSS,340.75,18861.455251783962
2020-10-08,BUY,350.95,18861.455251783962
2020-10-12,SELL,386.51,20772.59173491101
2020-10-13,BUY,381.04,20772.59173491101
2020-10-22,SELL,413.98,22568.332790306686
2020-10-23,BUY,409.11,22568.332790306686
2020-10-28,STOP_LOSS,388.23,21416.49883694059
2020-11-05,BUY,416.69,21416.49883694059
2020-11-21,SELL,552.35,28388.97773544874
2020-11-25,BUY,569.5,28388.97773544874
2020-11-26,STOP_LOSS,519.83,25912.98032698564
2020-11-29,BUY,576.3,25912.98032698564
2020-12-04,SELL,567.24,25505.60291632715
2020-12-17,BUY,642.7,25505.60291632715
2020-12-21,STOP_LOSS,607.58,24111.862797420334
2020-12-27,BUY,685.11,24111.862797420334
2020-12-28,SELL,730.41,25706.157705862977
2020-12-30,BUY,752.17,25706.157705862977
2021-01-03,SELL,978.28,33433.691799050255
2021-01-08,BUY,1216.93,33433.691799050255
2021-01-11,STOP_LOSS,1087.01,29864.295664077323
2021-01-12,BUY,1050.16,29864.295664077323
2021-01-21,SELL,1110.96,31593.31712402238
2021-02-06,BUY,1676.35,31593.31712402238
2021-02-16,SELL,1781.99,33584.26055527583
2021-02-22,BUY,1777.58,33584.26055527583
2021-02-23,STOP_LOSS,1577.89,29811.467775044828
2021-02-25,BUY,1481.75,29811.467775044828
2021-03-01,SELL,1569.86,31584.16116168846
2021-03-05,BUY,1528.31,31584.16116168846
2021-03-06,SELL,1650.35,34106.24832212872
2021-03-08,BUY,1833.18,34106.24832212872
2021-03-20,SELL,1806.1,33602.42589085451
2021-03-30,BUY,1840.46,33602.42589085451
2021-04-14,SELL,2432.6,44413.49511648863
2021-04-16,BUY,2422.67,44413.49511648863
2021-04-18,STOP_LOSS,2235.64,40984.77556672045
2021-04-28,BUY,2748.24,40984.77556672045
2021-05-01,SELL,2944.77,43915.64693971829
2021-05-02,BUY,2949.56,43915.64693971829
2021-05-03,SELL,3431.04,51084.34521625294
2021-05-04,BUY,3239.01,51084.34521625294
2021-05-05,SELL,3524.26,55583.1919234061
2021-05-06,BUY,3489.73,55583.1919234061
2021-05-08,SELL,3910.26,62281.24584148858
2021-05-09,BUY,3923.95,62281.24584148858
2021-05-13,STOP_LOSS,3717.91,59010.962608221
2021-05-19,BUY,2438.92,59010.962608221
2021-05-20,SELL,2768.62,66988.22892771095
2021-05-21,BUY,2430.98,66988.22892771095
2021-05-22,STOP_LOSS,2294.87,63237.5737025134
2021-05-28,BUY,2412.1,63237.5737025134
2021-05-29,STOP_LOSS,2278.74,59741.29957251581
