Date,Action,Price,Amount
2021-02-20,BUY,55841.19,10000.0
2021-02-21,SELL,57408.57,10280.68527909237
2021-02-22,BUY,54087.67,10280.68527909237
2021-02-23,STOP_LOSS,48891.0,9292.930976322425
2021-03-09,BUY,54884.5,9292.930976322425
2021-03-11,SELL,57773.16,9782.032963114025
2021-03-12,BUY,57221.72,9782.032963114025
2021-03-13,SELL,61188.39,10460.133808279033
2021-03-15,BUY,55605.2,10460.133808279033
2021-03-20,SELL,58102.28,10929.870288499902
2021-04-01,BUY,58720.44,10929.870288499902
2021-04-03,SELL,57051.94,10619.305712070262
2021-04-05,BUY,59129.99,10619.305712070262
2021-04-06,SELL,57991.15,10414.778531917957
2021-04-11,BUY,60002.43,10414.778531917957
2021-04-13,SELL,63575.0,11034.878840185042
2021-04-14,BUY,62959.53,11034.878840185042
2021-04-18,STOP_LOSS,56150.01,9841.378377906864
2021-04-25,BUY,49066.77,9841.378377906864
2021-04-26,SELL,54001.39,10831.120775280622
2021-04-29,BUY,53555.0,10831.120775280622
2021-05-12,STOP_LOSS,49631.32,10037.58418740735
2021-05-17,BUY,43538.04,10037.58418740735
2021-05-18,SELL,42849.78,9878.907598088561
2021-05-19,BUY,36690.09,9878.907598088561
2021-05-20,SELL,40526.64,10911.909232738319
2021-05-21,BUY,37252.01,10911.909232738319
2021-05-22,SELL,37449.73,10969.825642980264
2021-05-23,BUY,34655.25,10969.825642980264
2021-05-24,SELL,38796.29,12280.636754734098
2021-05-25,BUY,38324.72,12280.636754734098
2021-05-26,SELL,39241.91,12574.537851078041
2021-05-29,BUY,34605.15,12574.537851078041
2021-05-30,SELL,35641.27,12951.034706553568
2021-05-31,BUY,37253.81,12951.034706553568
2021-06-07,STOP_LOSS,33552.79,11664.400172538151
2021-06-28,BUY,34494.89,11664.400172538151
2021-07-13,STOP_LOSS,32729.77,11067.527243459364
2021-07-16,BUY,31383.87,11067.527243459364
2021-07-17,SELL,31520.07,11115.55819727606
2021-07-20,BUY,29790.35,11115.55819727606
2021-07-21,SELL,32144.51,11993.956822525492
2021-07-22,BUY,32287.83,11993.956822525492
2021-07-27,SELL,39457.87,14657.410829059243
2021-08-01,BUY,39845.44,14657.410829059243
2021-08-07,SELL,44572.54,16396.30608859323
2021-08-08,BUY,43794.37,16396.30608859323
2021-08-09,SELL,46253.4,17316.94973664738
