Date,Action,Price,Amount
2023-03-09,BUY,1437.32,10000.0
2023-03-10,SELL,1426.44,9924.303564968135
2023-03-13,BUY,1673.45,9924.303564968135
2023-03-17,SELL,1789.27,10611.167731148547
2023-03-18,BUY,1758.84,10611.167731148547
2023-04-09,SELL,1858.92,11214.9552652809
2023-04-10,BUY,1910.2,11214.9552652809
2023-04-13,SELL,2012.01,11812.690892732604
2023-04-17,BUY,2074.0,11812.690892732604
2023-04-19,STOP_LOSS,1933.73,11013.767965286315
2023-04-30,BUY,1870.09,11013.767965286315
2023-05-02,SELL,1870.08,11013.709070965908
2023-05-23,BUY,1854.05,11013.709070965908
2023-05-28,SELL,1908.64,11337.992870315456
2023-05-29,BUY,1892.6,11337.992870315456
2023-05-30,SELL,1900.59,11385.85853819764
2023-05-31,BUY,1873.63,11385.85853819764
2023-06-07,SELL,1832.13,11133.667268130872
2023-06-09,BUY,1840.37,11133.667268130872
2023-06-10,SELL,1751.53,10596.212843150708
2023-06-11,BUY,1752.76,10596.212843150708
2023-06-12,SELL,1742.57,10534.609766362268
2023-06-14,BUY,1650.95,10534.609766362268
2023-06-15,SELL,1666.96,10636.768585441865
2023-06-20,BUY,1791.99,10636.768585441865
2023-06-30,SELL,1933.79,11478.45508225025
2023-07-01,BUY,1924.5,11478.45508225025
2023-07-02,SELL,1937.48,11555.872773581821
2023-07-13,BUY,2004.49,11555.872773581821
2023-07-18,STOP_LOSS,1897.21,10937.404219909886
2023-07-27,BUY,1861.28,10937.404219909886
2023-07-28,SELL,1874.19,11013.267007066594
2023-08-10,BUY,1852.47,11013.267007066594
2023-08-15,SELL,1828.98,10873.614736316733
2023-08-17,BUY,1681.49,10873.614736316733
2023-08-20,SELL,1685.24,10897.864690381988
2023-08-26,BUY,1647.04,10897.864690381988
2023-08-27,SELL,1658.33,10972.566514475157
2023-08-29,BUY,1729.42,10972.566514475157
2023-09-01,STOP_LOSS,1629.12,10336.198008616626
2023-09-13,BUY,1607.62,10336.198008616626
2023-10-01,SELL,1733.79,11147.408433186587
2023-10-02,BUY,1662.4,11147.408433186587
2023-10-09,SELL,1580.13,10595.737781238644
2023-10-20,BUY,1603.89,10595.737781238644
2023-10-23,SELL,1765.46,11663.113569674713
2023-11-11,BUY,2053.17,11663.113569674713
2023-11-16,SELL,1961.77,11143.912246711554
2023-12-06,BUY,2232.7,11143.912246711554
2023-12-07,SELL,2355.73,11757.982889302553
2023-12-08,BUY,2358.72,11757.982889302553
2023-12-11,STOP_LOSS,2225.12,11092.000274150767
