Date,Action,Price,Amount
2022-02-23,BUY,2579.71,10000.0
2022-02-24,SELL,2596.2,10063.921913703478
2022-02-28,BUY,2920.95,10063.921913703478
2022-03-04,STOP_LOSS,2622.1,9034.255858512432
2022-03-16,BUY,2773.81,9034.255858512432
2022-03-24,SELL,3110.76,10131.696747227148
2022-03-25,BUY,3102.14,10131.696747227148
2022-03-26,SELL,3145.0,10271.678992575893
2022-04-17,BUY,2988.06,10271.678992575893
2022-04-18,SELL,3055.56,10503.715274310152
2022-04-26,BUY,2809.67,10503.715274310152
2022-05-07,STOP_LOSS,2635.34,9851.997213551953
2022-05-08,BUY,2519.71,9851.997213551953
2022-05-09,STOP_LOSS,2228.55,8713.569573586328
2022-05-11,BUY,2084.99,8713.569573586328
2022-05-12,STOP_LOSS,1960.22,8192.132024391194
2022-05-16,BUY,2023.66,8192.132024391194
2022-05-17,SELL,2090.72,8463.60271292369
2022-05-18,BUY,1915.11,8463.60271292369
2022-05-19,SELL,2019.55,8925.16297177971
2022-05-22,BUY,2043.19,8925.16297177971
2022-05-26,STOP_LOSS,1792.23,7828.907166202237
2022-06-11,BUY,1532.89,7828.907166202237
2022-06-12,STOP_LOSS,1434.84,7328.13780398699
2022-06-13,BUY,1209.82,7328.13780398699
2022-06-15,SELL,1237.52,7495.922612611777
2022-06-16,BUY,1068.5,7495.922612611777
2022-06-17,SELL,1086.94,7625.286031401259
2022-06-18,BUY,995.13,7625.286031401259
2022-06-19,SELL,1128.53,8647.477259269906
2022-06-20,BUY,1128.24,8647.477259269906
2022-06-21,SELL,1125.85,8629.158931033311
2022-06-22,BUY,1050.19,8629.158931033311
2022-06-24,SELL,1225.02,10065.695039654182
2022-07-17,BUY,1338.65,10065.695039654182
2022-07-18,SELL,1581.04,11888.295286665556
2022-07-20,BUY,1521.58,11888.295286665556
2022-07-25,STOP_LOSS,1440.79,11257.072888756993
2022-08-08,BUY,1777.05,11257.072888756993
2022-08-09,SELL,1702.76,10786.468265980055
2022-08-10,BUY,1853.57,10786.468265980055
2022-08-17,SELL,1834.25,10674.039511253373
2022-08-26,BUY,1508.18,10674.039511253373
2022-08-28,STOP_LOSS,1426.76,10097.795099441619
2022-09-07,BUY,1630.0,10097.795099441619
2022-09-10,SELL,1774.12,10990.613645289179
2022-09-12,BUY,1716.37,10990.613645289179
2022-09-13,STOP_LOSS,1574.4,10081.522121187905
2022-09-18,BUY,1334.51,10081.522121187905
2022-09-19,SELL,1375.98,10394.806189771627
2022-09-21,BUY,1245.78,10394.806189771627
2022-09-22,SELL,1326.46,11068.00126706519
2022-09-24,BUY,1317.13,11068.00126706519
2022-09-25,SELL,1294.63,10878.93107011503
2022-09-28,BUY,1337.2,10878.93107011503
