Date,Action,Price,Amount
2025-02-27,BUY,2307.72,10000.0
2025-03-02,SELL,2518.11,10911.679059851283
2025-03-03,BUY,2149.01,10911.679059851283
2025-03-04,SELL,2171.51,11025.923655663613
2025-03-09,BUY,2020.41,11025.923655663613
2025-03-10,STOP_LOSS,1865.1,10178.354992391744
2025-03-16,BUY,1887.0,10178.354992391744
2025-04-06,STOP_LOSS,1580.76,8526.516395216308
2025-04-10,BUY,1522.25,8526.516395216308
2025-04-11,SELL,1566.85,8776.332543172719
2025-04-14,BUY,1623.77,8776.332543172719
2025-04-22,FINAL_SELL,1645.41,8893.294819994102
