Date,Action,Price,Amount
2020-02-26,BUY,8785.25,10000.0
2020-03-02,SELL,8915.24,10147.96391679235
2020-03-10,BUY,7894.56,10147.96391679235
2020-03-11,SELL,7934.52,10199.330001553886
2020-03-12,BUY,4800.0,10199.330001553886
2020-03-15,SELL,5361.3,11392.014153610593
2020-03-16,BUY,5028.97,11392.014153610593
2020-03-19,SELL,6162.37,13959.480024693985
2020-03-21,BUY,6186.98,13959.480024693985
2020-03-22,STOP_LOSS,5816.19,13122.878710586572
2020-03-27,BUY,6359.11,13122.878710586572
2020-03-29,STOP_LOSS,5881.42,12137.101151893596
2020-04-07,BUY,7197.32,12137.101151893596
2020-04-15,STOP_LOSS,6621.24,11165.63660236921
2020-04-19,BUY,7120.74,11165.63660236921
2020-04-29,SELL,8778.57,13765.187678311562
2020-05-04,BUY,8871.96,13765.187678311562
2020-05-07,SELL,9986.4,15494.284265336024
2020-05-10,BUY,8722.77,15494.284265336024
2020-05-11,SELL,8561.52,15207.855374308812
2020-06-02,BUY,9518.04,15207.855374308812
2020-06-05,SELL,9621.16,15372.619763426605
2020-07-07,BUY,9257.39,15372.619763426605
2020-07-17,SELL,9154.32,15201.46397124151
2020-07-21,BUY,9390.0,15201.46397124151
2020-07-23,SELL,9603.27,15546.726614601113
2020-07-24,BUY,9537.8,15546.726614601113
2020-07-25,SELL,9700.42,15811.799134686085
2020-07-27,BUY,11029.96,15811.799134686085
2020-08-01,SELL,11801.17,16917.353244643084
2020-08-02,BUY,11071.35,16917.353244643084
2020-08-03,SELL,11219.81,17144.204555702683
2020-08-04,BUY,11191.97,17144.204555702683
2020-08-06,SELL,11762.46,18018.098718837755
2020-08-07,BUY,11594.23,18018.098718837755
2020-08-08,SELL,11761.41,18277.90603194223
2020-08-09,BUY,11681.68,18277.90603194223
2020-08-11,SELL,11392.08,17824.779291023933
2020-08-18,BUY,11945.01,17824.779291023933
2020-08-25,STOP_LOSS,11318.42,16889.758855213273
2020-09-03,BUY,10140.85,16889.758855213273
2020-09-04,SELL,10446.25,17398.407770677175
2020-09-05,BUY,10166.69,17398.407770677175
2020-09-06,SELL,10256.2,17551.587564646827
2020-09-15,BUY,10785.31,17551.587564646827
2020-09-19,SELL,11080.65,18032.212217192075
2020-09-20,BUY,10920.28,18032.212217192075
2020-09-23,STOP_LOSS,10241.46,16911.30448430662
2020-10-16,BUY,11319.32,16911.30448430662
2020-10-21,SELL,12780.96,19095.025687209436
2020-10-25,BUY,13028.83,19095.025687209436
2020-10-27,SELL,13636.17,19985.14190646088
2020-10-28,BUY,13266.4,19985.14190646088
2020-10-31,SELL,13791.0,20775.424533558617
2020-11-02,BUY,13549.37,20775.424533558617
2020-11-05,SELL,15590.02,23904.379612238023
2020-11-07,BUY,14818.3,23904.379612238023
2020-11-08,SELL,15475.1,24963.907124119814
2020-11-10,BUY,15297.21,24963.907124119814
2020-11-13,SELL,16320.7,26634.166557210257
2020-11-15,BUY,15957.0,26634.166557210257
2020-11-17,SELL,17659.38,29475.64505966458
2020-11-18,BUY,17776.12,29475.64505966458
2020-11-20,SELL,18655.67,30934.079386853417
2020-11-23,BUY,18368.0,30934.079386853417
2020-11-24,SELL,19160.01,32267.926306233956
2020-12-16,BUY,21335.52,32267.926306233956
2020-12-17,SELL,22797.16,34478.5165241543
2020-12-21,BUY,22719.71,34478.5165241543
2020-12-22,SELL,23810.79,36134.295572794195
2020-12-23,BUY,23232.76,36134.295572794195
2020-12-26,SELL,26493.39,41205.607296993985
2020-12-27,BUY,26281.66,41205.607296993985
2021-01-02,SELL,32178.33,50450.68041566174
2021-01-04,BUY,31988.71,50450.68041566174
2021-01-06,SELL,36769.36,57990.43570210916
2021-01-15,BUY,36742.22,57990.43570210916
2021-01-21,STOP_LOSS,30850.13,48690.91960602024
2021-01-27,BUY,30366.15,48690.91960602024
2021-01-28,SELL,33364.86,53499.23239943557
2021-02-03,BUY,37618.87,53499.23239943557
2021-02-06,SELL,39186.94,55729.24466053174
2021-02-07,BUY,38795.69,55729.24466053174
2021-02-08,SELL,46374.87,66616.58746964813
2021-02-10,BUY,44807.58,66616.58746964813
2021-02-11,SELL,47969.51,71317.51053708236
2021-02-13,BUY,47153.69,71317.51053708236
2021-02-14,SELL,48577.79,73471.38792728996
2021-02-15,BUY,47911.1,73471.38792728996
2021-02-17,SELL,52119.71,79925.26642193258
2021-02-18,BUY,51552.6,79925.26642193258
2021-02-19,SELL,55906.0,86674.61863387226
2021-02-20,BUY,55841.19,86674.61863387226
2021-02-21,SELL,57408.57,89107.44758601957
2021-02-22,BUY,54087.67,89107.44758601957
2021-02-23,STOP_LOSS,48891.0,80546.12483636443
2021-03-09,BUY,54884.5,80546.12483636443
2021-03-11,SELL,57773.16,84785.39765418753
2021-03-12,BUY,57221.72,84785.39765418753
2021-03-13,SELL,61188.39,90662.8108691859
2021-03-15,BUY,55605.2,90662.8108691859
2021-03-20,SELL,58102.28,94734.23389734201
2021-04-01,BUY,58720.44,94734.23389734201
2021-04-03,SELL,57051.94,92042.4272750191
2021-04-05,BUY,59129.99,92042.4272750191
2021-04-06,SELL,57991.15,90269.69574102285
2021-04-11,BUY,60002.43,90269.69574102285
2021-04-13,SELL,63575.0,95644.39151440246
2021-04-14,BUY,62959.53,95644.39151440246
2021-04-18,STOP_LOSS,56150.01,85299.77177367134
2021-04-25,BUY,49066.77,85299.77177367134
2021-04-26,SELL,54001.39,93878.32625748584
2021-04-29,BUY,53555.0,93878.32625748584
2021-05-12,STOP_LOSS,49631.32,87000.37814489183
2021-05-17,BUY,43538.04,87000.37814489183
2021-05-18,SELL,42849.78,85625.05485835887
2021-05-19,BUY,36690.09,85625.05485835887
2021-05-20,SELL,40526.64,94578.5571315023
2021-05-21,BUY,37252.01,94578.5571315023
2021-05-22,SELL,37449.73,95080.54540853864
2021-05-23,BUY,34655.25,95080.54540853864
2021-05-24,SELL,38796.29,106441.95072976919
2021-05-25,BUY,38324.72,106441.95072976919
2021-05-26,SELL,39241.91,108989.327273938
2021-05-29,BUY,34605.15,108989.327273938
2021-05-30,SELL,35641.27,112252.59941045735
2021-05-31,BUY,37253.81,112252.59941045735
2021-06-07,STOP_LOSS,33552.79,101100.74365476174
2021-06-28,BUY,34494.89,101100.74365476174
2021-07-13,STOP_LOSS,32729.77,95927.37030468314
2021-07-16,BUY,31383.87,95927.37030468314
