Date,Action,Price,Amount
2023-03-03,BUY,22354.34,10000.0
2023-03-05,SELL,22430.24,10033.953138406234
2023-03-06,BUY,22410.0,10033.953138406234
2023-03-09,STOP_LOSS,20362.22,9117.071007314511
2023-03-14,BUY,24670.41,9117.071007314511
2023-03-17,SELL,27395.13,10124.00464623863
2023-03-18,BUY,26907.49,10124.00464623863
2023-04-02,SELL,28171.87,10599.73051270225
2023-04-11,BUY,30200.42,10599.73051270225
2023-04-13,SELL,30373.84,10660.597390232855
2023-04-14,BUY,30466.93,10660.597390232855
2023-04-17,SELL,29430.27,10297.862618775449
2023-05-13,BUY,26775.28,10297.862618775449
2023-05-14,SELL,26917.62,10352.607060856224
2023-05-18,BUY,26821.28,10352.607060856224
2023-05-19,SELL,26880.26,10375.372445821047
2023-05-27,BUY,26854.27,10375.372445821047
2023-05-28,SELL,28065.0,10843.14813591908
2023-05-29,BUY,27736.4,10843.14813591908
2023-06-05,STOP_LOSS,25728.2,10058.071122083373
2023-06-06,BUY,27230.08,10058.071122083373
2023-06-07,SELL,26339.34,9729.05533251226
2023-06-17,BUY,26516.99,9729.05533251226
2023-06-20,SELL,28307.99,10386.171321187048
2023-06-24,BUY,30527.43,10386.171321187048
2023-07-06,SELL,29895.43,10171.149608747115
2023-07-24,BUY,29176.5,10171.149608747115
2023-07-25,SELL,29228.91,10189.420133004462
2023-07-27,BUY,29222.78,10189.420133004462
2023-07-29,SELL,29352.9,10234.790469013102
2023-08-08,BUY,29770.42,10234.790469013102
2023-08-16,SELL,28730.51,9877.279189137593
2023-08-17,BUY,26623.41,9877.279189137593
2023-08-20,SELL,26189.99,9716.480465527206
2023-08-25,BUY,26060.01,9716.480465527206
2023-08-27,SELL,26101.77,9732.050690720534
2023-08-29,BUY,27716.34,9732.050690720534
2023-08-31,STOP_LOSS,25940.78,9108.597524667017
2023-09-12,BUY,25840.1,9108.597524667017
2023-09-13,SELL,26222.0,9243.216717110945
2023-09-20,BUY,27125.0,9243.216717110945
2023-10-11,SELL,26875.52,9158.202976776021
2023-10-16,BUY,28500.78,9158.202976776021
2023-10-21,SELL,29909.8,9610.9657137375
2023-10-26,BUY,34151.66,9610.9657137375
2023-11-13,SELL,36462.93,10261.403693185352
2023-11-16,BUY,36163.51,10261.403693185352
2023-12-04,SELL,41991.1,11914.983601451167
2023-12-07,BUY,43273.14,11914.983601451167
2023-12-08,SELL,44170.99,12162.200882807752
2023-12-09,BUY,43713.6,12162.200882807752
2023-12-11,STOP_LOSS,41253.4,11477.712608863634
2023-12-15,BUY,41940.3,11477.712608863634
2024-01-02,SELL,44946.91,12300.525166402218
2024-01-03,BUY,42845.23,12300.525166402218
2024-01-12,SELL,42782.73,12282.581912908185
2024-01-22,BUY,39568.02,12282.581912908185
2024-02-05,SELL,42708.7,13257.502046951598
2024-02-11,BUY,48299.99,13257.502046951598
2024-02-14,SELL,51795.17,14216.86779432472
2024-02-15,BUY,51880.0,14216.86779432472
2024-02-26,SELL,54476.47,14928.388047253215
2024-02-27,BUY,57037.34,14928.388047253215
2024-03-04,SELL,68245.71,17861.95571953933
2024-03-06,BUY,66074.04,17861.95571953933
2024-03-13,SELL,73072.41,19753.84207988528
