Date,Action,Price,Balance
2023-02-19,BUY,24271.76,10000.0
2023-03-10,SELL,20150.69,8302.113237770973
2023-03-19,BUY,27972.87,8302.113237770973
2023-05-08,SELL,27668.79,8211.8648437613
2023-06-25,BUY,30462.66,8211.8648437613
2023-08-03,SELL,29193.64,7869.77322326493
2023-10-01,BUY,27992.57,7869.77322326493
2024-01-24,SELL,40084.88,11269.380242035222
2024-02-11,BUY,48299.99,11269.380242035222
2024-04-19,SELL,63818.01,14890.053206636405
2024-05-25,BUY,69290.57,14890.053206636405
2024-06-25,SELL,61806.01,13281.674221902082
2024-07-28,BUY,68249.88,13281.674221902082
2024-08-14,SELL,58683.39,11420.0005658153
2024-09-25,BUY,63152.01,11420.0005658153
2025-01-05,SELL,98363.61,17787.43830727851
2025-01-21,BUY,106143.82,17787.43830727851
2025-02-16,SELL,96118.12,16107.345012753382
