Date,Action,Price,Balance
2023-02-19,BUY,1679.75,10000.0
2023-03-10,SELL,1426.44,8491.977972912637
2023-03-21,BUY,1801.23,8491.977972912637
2023-05-10,SELL,1840.84,8678.721058197174
2023-06-09,BUY,1840.37,8678.721058197174
2023-06-10,SELL,1751.53,8259.77401015236
2023-07-04,BUY,1936.2,8259.77401015236
2023-08-05,SELL,1836.48,7834.371332591988
2023-10-27,BUY,1779.4,7834.371332591988
2024-02-05,SELL,2301.83,10134.534654658994
2024-02-14,BUY,2774.81,10134.534654658994
2024-04-06,SELL,3351.59,12241.128222548045
2024-05-25,BUY,3749.26,12241.128222548045
2024-06-28,SELL,3380.15,11036.004321238264
2024-08-01,BUY,3203.4,11036.004321238264
2024-08-04,SELL,2688.92,9263.57393377786
2024-10-02,BUY,2364.1,9263.57393377786
2025-01-02,SELL,3455.67,13540.820834879294
