Date,Action,Price,Balance
2021-02-19,BUY,1955.0,10000.0
2021-06-01,SELL,2634.57,13476.06138107417
2021-08-02,BUY,2606.93,13476.06138107417
2021-09-25,SELL,2921.73,15103.364040816532
2021-10-16,BUY,3829.96,15103.364040816532
2021-12-04,SELL,4117.25,16236.285913443446
2022-03-28,BUY,3332.92,16236.285913443446
2022-04-27,SELL,2888.96,14073.539284621767
2022-07-24,BUY,1597.7,14073.539284621767
2022-09-03,SELL,1557.46,13719.080236732188
2022-10-31,BUY,1572.69,13719.080236732188
2022-11-20,SELL,1142.21,9963.86486669202
2022-12-27,BUY,1211.55,9963.86486669202
2022-12-29,SELL,1200.49,9872.90671768817
2023-01-10,BUY,1335.62,9872.90671768817
2023-03-10,SELL,1426.44,10544.24840776502
2023-03-21,BUY,1801.23,10544.24840776502
2023-05-10,SELL,1840.84,10776.122004935605
2023-06-09,BUY,1840.37,10776.122004935605
2023-06-10,SELL,1751.53,10255.927327279222
2023-07-04,BUY,1936.2,10255.927327279222
2023-08-05,SELL,1836.48,9727.716877389601
