Date,Action,Price,Balance
2022-02-19,BUY,40079.17,10000.0
2022-03-07,SELL,37988.0,9478.240193097812
2022-03-19,BUY,42201.13,9478.240193097812
2022-03-20,SELL,41262.11,9267.3392739489
2022-03-27,BUY,46827.76,9267.3392739489
2022-04-22,SELL,39709.18,7858.553203277419
2022-07-28,BUY,23842.93,7858.553203277419
2022-08-29,SELL,20285.73,6686.111500235955
2022-10-31,BUY,20490.74,6686.111500235955
2022-11-14,SELL,16619.46,5422.916040792643
2022-12-25,BUY,16832.11,5422.916040792643
2023-01-03,SELL,16675.18,5372.3568290074545
2023-01-12,BUY,18846.62,5372.3568290074545
2023-03-10,SELL,20150.69,5744.090825342275
2023-03-19,BUY,27972.87,5744.090825342275
2023-05-08,SELL,27668.79,5681.649497792758
2023-06-25,BUY,30462.66,5681.649497792758
2023-08-03,SELL,29193.64,5444.962128873269
2023-10-01,BUY,27992.57,5444.962128873269
2024-01-24,SELL,40084.88,7797.092354879509
2024-02-11,BUY,48299.99,7797.092354879509
2024-04-19,SELL,63818.01,10302.174345680489
2024-05-25,BUY,69290.57,10302.174345680489
2024-06-25,SELL,61806.01,9189.364304996649
2024-07-28,BUY,68249.88,9189.364304996649
2024-08-14,SELL,58683.39,7901.303992947639
2024-09-25,BUY,63152.01,7901.303992947639
2024-09-26,FINAL SELL,65173.99,8154.2853097364505
