Symbol,Year,final_balance,profit,success_trades,failed_trades,total_trades
BTC,2020,38860.156696244725,28860.156696244725,9,1,20
BTC,2021,5726.87324987251,-4273.12675012749,2,10,24
BTC,2022,8154.2853097364505,-1845.7146902635495,1,12,28
BTC,2023,16107.345012753382,6107.3450127533815,6,3,18
ETH,2020,77857.7061134023,67857.7061134023,6,2,16
ETH,2021,9727.716877389601,-272.283122610399,8,3,22
ETH,2022,7084.327849737792,-2915.6721502622077,0,12,24
ETH,2023,13540.820834879294,3540.820834879294,4,5,18
