Date,Action,Price,Balance
2022-03-28,BUY,3332.92,10000.0
2022-04-27,SELL,2888.96,8667.954826398473
2022-07-24,BUY,1597.7,8667.954826398473
2022-09-03,SELL,1557.46,8449.6419377371
2022-10-31,BUY,1572.69,8449.6419377371
2022-11-20,SELL,1142.21,6136.788253058577
2022-12-27,BUY,1211.55,6136.788253058577
2022-12-29,SELL,1200.49,6080.766728500095
2023-01-10,BUY,1335.62,6080.766728500095
2023-03-10,SELL,1426.44,6494.249032061272
2023-03-21,BUY,1801.23,6494.249032061272
2023-05-10,SELL,1840.84,6637.061001748623
2023-06-09,BUY,1840.37,6637.061001748623
2023-06-10,SELL,1751.53,6316.670808800821
2023-07-04,BUY,1936.2,6316.670808800821
2023-08-05,SELL,1836.48,5991.343666432461
2023-10-27,BUY,1779.4,5991.343666432461
2024-02-05,SELL,2301.83,7750.395971509627
2024-02-14,BUY,2774.81,7750.395971509627
2024-04-06,SELL,3351.59,9361.415604726793
2024-05-25,BUY,3749.26,9361.415604726793
2024-06-28,SELL,3380.15,8439.795841397307
2024-08-01,BUY,3203.4,8439.795841397307
2024-08-04,SELL,2688.92,7084.327849737792
